Date,Open,High,Low,Close,Adj Close,Volume
2022-08-05,166.99,171.61,165.8,167.11,167.11,25832700
2022-08-08,168.0,177.51,167.13,170.25,170.25,27299100
2022-08-09,168.95,169.53,166.6,168.53,168.53,18655100
2022-08-10,175.99,180.48,173.95,178.34,178.34,30262100
2022-08-11,179.71,183.1,176.37,177.49,177.49,24079100
2022-08-12,180.81,181.46,178.91,180.5,180.5,21274000
2022-08-15,178.96,181.44,178.2,180.89,180.89,15878700
2022-08-16,179.44,180.99,177.04,179.47,179.47,21156700
2022-08-17,176.76,178.14,174.17,174.85,174.85,20118100
2022-08-18,174.34,175.76,171.86,174.66,174.66,18844500
2022-08-19,170.2,172.32,167.05,167.96,167.96,26240800
2022-08-22,165.49,165.49,162.26,163.05,163.05,19499700
2022-08-23,162.48,165.05,160.7,161.11,161.11,18111800
2022-08-24,160.6,165.46,159.77,163.26,163.26,20891500
2022-08-25,165.18,168.88,164.02,168.78,168.78,15550500
2022-08-26,168.48,170.92,161.67,161.78,161.78,24023600
2022-08-29,160.66,163.05,159.01,159.17,159.17,20052700
2022-08-30,160.35,161.66,155.91,157.16,157.16,19567900
2022-08-31,167.07,167.84,162.14,162.93,162.93,40953000
2022-09-01,163.58,167.36,160.35,165.36,165.36,30145700
2022-09-02,167.45,167.93,159.22,160.32,160.32,22634200
2022-09-06,160.1,161.69,157.69,158.54,158.54,19339800
2022-09-07,157.76,160.96,156.81,160.39,160.39,16831200
2022-09-08,158.71,162.23,157.74,162.06,162.06,22530800
2022-09-09,163.25,169.54,163.02,169.15,169.15,22086800
2022-09-12,167.39,171.39,167.28,168.96,168.96,23220400
2022-09-13,161.54,161.63,152.67,153.13,153.13,44444100
2022-09-14,153.33,153.54,149.05,151.47,151.47,43064200
2022-09-15,149.8,154.2,148.7,149.55,149.55,34606300
2022-09-16,148.05,148.58,144.29,146.29,146.29,40122800
2022-09-19,145.24,148.58,145.1,148.02,148.02,22169500
2022-09-20,145.78,148.84,145.22,146.09,146.09,23217400
2022-09-21,146.39,149.6,142.0,142.12,142.12,38338600
2022-09-22,141.55,144.58,140.87,142.82,142.82,34418500
2022-09-23,141.42,142.62,138.89,140.41,140.41,31710700
2022-09-26,140.12,142.24,136.19,136.37,136.37,30497000
2022-09-27,137.92,139.42,134.12,134.4,134.4,30826500
2022-09-28,134.62,142.03,134.27,141.61,141.61,32658500
2022-09-29,139.36,139.84,135.2,136.41,136.41,38985400
2022-09-30,136.05,140.99,135.5,135.68,135.68,33166400
2022-10-03,137.14,139.62,136.1,138.61,138.61,27723100
2022-10-04,140.49,142.39,139.34,140.28,140.28,34670700
2022-10-05,138.24,140.21,134.78,138.98,138.98,27979300
2022-10-06,137.72,141.45,136.6,139.07,139.07,36231100
2022-10-07,136.76,138.29,132.44,133.45,133.45,33214800
2022-10-10,133.55,136.11,131.87,133.79,133.79,24024000
2022-10-11,131.62,132.66,126.99,128.54,128.54,38481400
2022-10-12,128.32,129.67,126.25,127.5,127.5,34605200
2022-10-13,123.53,131.14,122.53,130.29,130.29,34325700
2022-10-14,131.0,131.79,126.52,126.76,126.76,23559400
2022-10-17,130.3,134.79,130.18,134.04,134.04,29612200
2022-10-18,137.09,137.84,131.4,132.8,132.8,25445000
2022-10-19,132.89,137.0,132.22,133.23,133.23,30691000
2022-10-20,132.93,136.77,131.31,131.53,131.53,26356300
2022-10-21,126.31,130.12,125.44,130.01,130.01,46348600
2022-10-24,127.25,133.48,124.57,129.72,129.72,63563400
2022-10-25,130.88,138.35,130.59,137.51,137.51,38433200
2022-10-26,131.68,135.55,128.53,129.82,129.82,82791500
2022-10-27,97.98,102.5,96.38,97.94,97.94,232316600
2022-10-28,99.58,100.85,97.51,99.2,99.2,95928300
2022-10-31,98.22,99.32,92.6,93.16,93.16,121361400
2022-11-01,94.33,97.49,93.55,95.2,95.2,110189600
2022-11-02,94.21,95.2,90.48,90.54,90.54,71821100
2022-11-03,90.08,90.46,88.41,88.91,88.91,60664000
2022-11-04,90.35,91.39,88.09,90.79,90.79,55638100
2022-11-07,94.78,96.88,93.1,96.72,96.72,81987300
2022-11-08,95.92,97.8,94.79,96.47,96.47,52088300
2022-11-09,101.72,104.9,100.74,101.47,101.47,107677300
2022-11-10,107.12,112.75,104.61,111.87,111.87,80671000
2022-11-11,109.23,114.9,108.81,113.02,113.02,59961700
2022-11-14,110.99,116.27,110.8,114.22,114.22,53395000
2022-11-15,116.07,118.74,114.41,117.08,117.08,50670500
2022-11-16,114.5,116.08,112.66,113.23,113.23,33287800
2022-11-17,110.41,112.33,109.8,111.45,111.45,35093800
2022-11-18,113.8,114.32,110.62,112.05,112.05,33357700
2022-11-21,111.52,112.37,109.19,109.86,109.86,24351100
2022-11-22,109.86,111.62,108.32,111.44,111.44,29029000
2022-11-23,111.72,112.67,110.73,112.24,112.24,21343100
2022-11-25,111.3,112.73,111.02,111.41,111.41,12007600
2022-11-28,110.78,112.04,108.38,108.78,108.78,23309400
2022-11-29,109.54,110.94,108.54,109.46,109.46,23899200
2022-11-30,109.51,118.16,109.38,118.1,118.1,43348600
2022-12-01,119.2,121.2,118.4,120.44,120.44,36551400
2022-12-02,117.83,124.04,117.61,123.49,123.49,39950500
2022-12-05,121.75,124.67,121.35,122.43,122.43,35474900
2022-12-06,119.91,120.55,113.74,114.12,114.12,43689200
2022-12-07,113.76,115.88,112.88,113.93,113.93,29461100
2022-12-08,116.39,117.34,114.59,115.33,115.33,30619400
2022-12-09,115.3,117.54,113.87,115.9,115.9,26033400
2022-12-12,115.18,115.72,113.14,114.71,114.71,24747100
2022-12-13,122.13,123.3,118.64,120.15,120.15,44701100
2022-12-14,119.39,124.14,119.39,121.59,121.59,36922000
2022-12-15,118.33,118.63,114.01,116.15,116.15,34531000
2022-12-16,120.23,123.31,118.82,119.43,119.43,67064000
2022-12-19,116.83,117.8,114.33,114.48,114.48,29769900
2022-12-20,113.26,117.33,112.46,117.09,117.09,28742500
2022-12-21,116.7,120.34,115.62,119.76,119.76,20392800
2022-12-22,117.2,118.62,114.38,117.12,117.12,23618100
2022-12-23,116.03,118.18,115.54,118.04,118.04,17796600
2022-12-27,117.93,118.6,116.05,116.88,116.88,21392300
2022-12-28,116.25,118.15,115.51,115.62,115.62,19612500
2022-12-29,116.4,121.03,115.77,120.26,120.26,22366200
2022-12-30,118.16,120.42,117.74,120.34,120.34,19583800
2023-01-03,122.82,126.37,122.28,124.74,124.74,35528500
